"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20026,"nsh",8474569,2,"929-961;48-107;791-850;245-306;459-520;1118-1179","Colin","Wilson","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8474569,1,"1072-1078;709-721;1083-1111;17-54;879-917;396-453;759-819;232-295;523-609;1111-1111","Colin","Wilson","l","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475225,3,"588-606;0-19;350-372;1164-1188;752-788;413-461;54-107;817-893","Craig","Smith","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475225,2,"1118-1124;1006-1046;306-356;122-179;518-585;829-898;1124-1124","Craig","Smith","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475225,1,"385-396;819-832;54-93;1161-1200;874-917;176-226;619-709","Craig","Smith","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475714,3,"1047-1054;721-752;951-996;372-423;536-588;103-160;177-240","Calle","Jarnkrok","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475714,2,"179-207;356-390;537-581;1046-1093;627-687","Calle","Jarnkrok","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475714,1,"499-523;709-739;301-335;93-135;832-874;1024-1072","Calle","Jarnkrok","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475793,3,"167-177;1188-1200;0-19;999-1047;606-656;788-849;467-536;1109-1178","Ryan","Johansen","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475793,2,"1189-1200;581-604;1093-1118;898-929;961-1006;207-254;0-48;400-458;729-797","Ryan","Johansen","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8475793,1,"0-17;739-759;598-619;147-176;453-489;335-378;1111-1161;917-1021","Ryan","Johansen","c","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476447,3,"115-155","Miikka","Salomaki","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476447,2,"179-207;704-736;604-638;356-397","Miikka","Salomaki","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476447,1,"709-711;1078-1083;721-739;493-523;832-865;295-335;93-139;1016-1072","Miikka","Salomaki","r","2016-10-16 00:30:00+00"
2016,20026,"nsh",8476887,3,"167-177;0-19;1178-1200;996-1043;1109-1159;240-296;606-662;788-849;461-536","Filip","Forsberg","l","2016-10-16 00:30:00+00"
