"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20050,"wpg",8471218,3,"1034-1041;20-55;304-348;913-957;469-524;1089-1145;121-187;693-780","Blake","Wheeler","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471218,4,"107-146;0-63","Blake","Wheeler","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471226,1,"1178-1200;607-630;721-761;183-227;406-463;900-969","Drew","Stafford","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471226,2,"92-135;1012-1059;605-664;784-846","Drew","Stafford","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471226,3,"348-365;780-797;1024-1053;55-88;412-469;187-245;855-913;628-693","Drew","Stafford","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8471226,4,"94-107","Drew","Stafford","r","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473574,1,"0-31;771-815;463-510;1051-1114;268-343","Shawn","Matthias","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473574,2,"198-209;514-542;1059-1094;0-48;734-784;289-345","Shawn","Matthias","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473574,3,"245-247;288-304;0-20;1053-1089;797-846;1145-1200;570-628;365-424","Shawn","Matthias","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473618,1,"80-101;1178-1200;607-630;183-220;721-761;406-463;900-972","Mathieu","Perreault","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473618,2,"92-135;1012-1059;784-846;605-708","Mathieu","Perreault","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473618,3,"20-55;304-348;913-957;1089-1145;121-191;469-541;681-780","Mathieu","Perreault","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8473618,4,"45-94","Mathieu","Perreault","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8475788,2,"555-605;135-189;415-472;708-767;1141-1200;939-1012","Alexander","Burmistrov","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8475788,3,"88-121;534-570;247-288;957-1024","Alexander","Burmistrov","c","2016-10-20 00:00:00+00"
2016,20050,"wpg",8476392,1,"0-31;771-808;463-510;268-321;1051-1110;101-183","Adam","Lowry","c","2016-10-20 00:00:00+00"
