"season","game_id","team","period","strength_sit","timeranges"
2016,20391,"min",3,"ev5","0-766;886-1067"
2016,20391,"min",3,"sh","766-886"
2016,20413,"bos",1,"ev5","0-459;579-1200"
2016,20413,"bos",1,"pp","459-579"
2016,20413,"bos",2,"ev5","0-1200"
2016,20413,"bos",3,"ev5","0-187;307-466;586-1070;1107-1200"
2016,20413,"bos",3,"sh","187-307;466-586"
2016,20425,"col",1,"ev5","0-80;200-971;1131-1200"
2016,20425,"col",1,"pp","1094-1131"
2016,20425,"col",1,"sh","80-200;974-1083"
2016,20425,"col",2,"ev5","0-245;374-1200"
2016,20425,"col",2,"sh","254-374"
2016,20425,"col",3,"ev5","0-18;138-383;687-955"
2016,20425,"col",3,"pp","383-687"
2016,20425,"col",3,"sh","18-138;955-1011;1044-1050;1084-1091;1129-1139"
2016,20515,"ari",1,"ev5","0-571;691-1200"
2016,20515,"ari",1,"pp","571-691"
2016,20515,"ari",2,"ev5","0-13;43-1200"
2016,20515,"ari",2,"sh","13-43"
2016,20515,"ari",3,"ev5","0-138;258-454;574-1128"
2016,20515,"ari",3,"pp","138-258;454-574;1128-1200"
2016,20435,"sjs",1,"ev5","0-141;261-672;792-923;1043-1200"
2016,20435,"sjs",1,"pp","141-261;672-792"
2016,20435,"sjs",1,"sh","923-1043"
2016,20435,"sjs",2,"ev5","0-211;331-377;520-637;757-1200"
2016,20435,"sjs",2,"pp","211-331;637-757"
2016,20435,"sjs",2,"sh","377-520"
2016,20435,"sjs",3,"ev5","0-182;302-886;890-1200"
2016,20435,"sjs",3,"pp","182-302;886-890"
2016,20838,"nyi",1,"ev5","0-449;569-888;1030-1200"
2016,20838,"nyi",1,"pp","910-1030"
2016,20838,"nyi",1,"sh","449-569"
2016,20838,"nyi",2,"ev5","0-189;371-630;750-1071;1191-1200"
2016,20838,"nyi",2,"pp","309-371;630-750;1071-1191"
2016,20838,"nyi",2,"sh","189-251"
2016,20838,"nyi",3,"ev5","0-304;341-1200"
2016,20838,"nyi",3,"sh","304-341"
2016,20843,"cbj",1,"ev5","0-1104"
2016,20843,"cbj",1,"sh","1104-1200"
2016,20843,"cbj",2,"ev5","24-145;289-317;437-543;596-1106"
2016,20843,"cbj",2,"pp","145-289;317-437;543-596;1110-1200"
2016,20843,"cbj",2,"sh","0-24;1106-1110"
2016,20843,"cbj",3,"ev5","30-417;551-919;1059-1200"
2016,20843,"cbj",3,"pp","0-30"
2016,20843,"cbj",3,"sh","537-551;919-1015"
2016,20447,"ari",1,"ev5","0-931;1051-1156;1192-1200"
2016,20447,"ari",1,"sh","931-1051;1157-1192"
2016,20447,"ari",2,"ev5","0-129;282-969;1164-1200"
2016,20447,"ari",2,"pp","129-282"
2016,20447,"ari",2,"sh","969-1164"
2016,20447,"ari",3,"ev5","0-165;405-1200"
2016,20447,"ari",3,"pp","165-405"
2016,20861,"ott",1,"ev5","0-192;312-483;603-741;959-1094"
2016,20861,"ott",1,"pp","483-603"
2016,20861,"ott",1,"sh","741-835;839-959;1094-1200"
2016,20861,"ott",2,"ev5","14-569;700-1200"
2016,20861,"ott",2,"pp","569-700"
2016,20861,"ott",2,"sh","0-14"
2016,20861,"ott",3,"ev5","0-45;124-372;386-1055;1090-1125;1155-1200"
2016,20861,"ott",3,"pp","372-386"
2016,20861,"ott",3,"sh","45-124"
2016,21004,"car",1,"ev5","0-1141"
2016,21004,"car",1,"pp","1141-1200"
2016,20875,"car",1,"ev5","0-871;1007-1088"
2016,20875,"car",1,"pp","871-887;1088-1200"
2016,20875,"car",1,"sh","991-1007"
2016,20875,"car",2,"ev5","8-383;503-729;849-1200"
2016,20875,"car",2,"pp","0-8;729-849"
2016,20875,"car",2,"sh","383-503"
2016,20875,"car",3,"ev5","0-1200"
2016,20885,"wpg",1,"ev5","0-604;633-749;886-1181"
2016,20885,"wpg",1,"pp","604-633;1181-1200"
2016,20885,"wpg",1,"sh","766-886"
2016,20885,"wpg",2,"ev5","101-729;897-1138;1168-1200"
2016,20885,"wpg",2,"pp","0-101;729-777"
2016,20885,"wpg",2,"sh","849-897;1138-1168"
2016,20885,"wpg",3,"ev5","0-112;210-970;1090-1174"
2016,20885,"wpg",3,"pp","1174-1200"
2016,20885,"wpg",3,"sh","112-210;970-1090"
2016,20885,"wpg",4,"pp","0-94"
2016,20894,"nyr",1,"ev5","0-782;902-1200"
2016,20894,"nyr",1,"sh","782-902"
2016,20894,"nyr",2,"ev5","0-694;814-1160"
2016,20894,"nyr",2,"pp","694-814"
2016,20894,"nyr",2,"sh","1160-1200"
2016,20894,"nyr",3,"ev5","200-528;648-1200"
2016,20894,"nyr",3,"pp","528-648"
2016,20894,"nyr",3,"sh","0-200"
2016,20907,"mtl",1,"ev5","0-99;219-507;627-1150"
2016,20907,"mtl",1,"pp","507-627;1150-1200"
2016,20907,"mtl",1,"sh","99-219"
2016,20907,"mtl",2,"ev5","70-399;449-750;870-1200"
2016,20907,"mtl",2,"pp","0-70;399-449"
2016,20907,"mtl",2,"sh","750-870"
2016,20907,"mtl",3,"ev5","0-276;396-1200"
2016,20907,"mtl",3,"pp","276-396"
2016,20462,"pit",1,"ev5","0-284;404-700;771-955;1075-1200"
2016,20462,"pit",1,"pp","700-771"
2016,20462,"pit",1,"sh","284-404;955-1075"
2016,20462,"pit",2,"ev5","0-908;1028-1083"
2016,20462,"pit",2,"sh","908-1028;1083-1200"
2016,20462,"pit",3,"ev5","3-318;558-1200"
2016,20462,"pit",3,"pp","318-558"
2016,20462,"pit",3,"sh","0-3"
2016,20478,"ana",1,"ev5","0-258;378-456;576-621;741-996;1116-1200"
2016,20478,"ana",1,"pp","456-576;621-741;996-1116"
2016,20478,"ana",1,"sh","258-378"
2016,20478,"ana",2,"ev5","0-549;698-1065;1081-1200"
2016,20478,"ana",2,"pp","1065-1081"
2016,20478,"ana",2,"sh","578-698"
2016,20478,"ana",3,"ev5","0-170;290-785;788-1015"
2016,20478,"ana",3,"pp","785-788"
2016,20478,"ana",3,"sh","170-290"
2016,20975,"det",1,"ev5","0-358;398-481;601-926;1046-1200"
2016,20975,"det",1,"pp","926-1046"
2016,20535,"tbl",1,"ev5","0-331;451-565;685-701;821-1009;1129-1198"
2016,20535,"tbl",1,"pp","331-451;701-821;1009-1129"
2016,20535,"tbl",1,"sh","565-685;1198-1200"
2016,20535,"tbl",2,"ev5","118-123;243-808;928-1111"
2016,20535,"tbl",2,"pp","808-928"
2016,20535,"tbl",2,"sh","0-118;123-243;1111-1200"
2016,20535,"tbl",3,"ev5","31-1007;1150-1200"
2016,20535,"tbl",3,"pp","1030-1150"
2016,20535,"tbl",3,"sh","0-31"
2016,20535,"tbl",4,"sh","121-217"
2016,20559,"det",1,"ev5","0-49;169-1200"
2016,20559,"det",1,"sh","49-169"
2016,20559,"det",2,"ev5","0-86;206-351;471-615;815-1200"
2016,20559,"det",2,"pp","86-206;351-471;735-815"
2016,20559,"det",2,"sh","615-695"
2016,20559,"det",3,"ev5","0-1029;1094-1116;1198-1200"
2016,20566,"wsh",1,"ev5","0-33;74-327;399-830;950-1200"
2016,20566,"wsh",1,"pp","33-74"
