"season","game_id","team","period","strength_sit","timeranges"
2016,20470,"lak",3,"ev5","0-253;493-630;753-1143"
2016,20470,"lak",3,"pp","633-753"
2016,20470,"lak",3,"sh","253-493"
2016,20481,"nyi",1,"ev5","0-875;995-1009;1129-1200"
2016,20481,"nyi",1,"pp","1009-1129"
2016,20481,"nyi",1,"sh","875-995"
2016,20481,"nyi",2,"ev5","0-160;280-1168"
2016,20481,"nyi",2,"sh","160-280;1168-1200"
2016,20481,"nyi",3,"ev5","88-749;782-885;1005-1042"
2016,20481,"nyi",3,"pp","749-782;1155-1200"
2016,20481,"nyi",3,"sh","0-88"
2016,20548,"buf",1,"ev5","0-499;623-647;820-1200"
2016,20548,"buf",1,"pp","647-820"
2016,20548,"buf",1,"sh","503-623"
2016,20548,"buf",2,"ev5","0-296;424-655;902-1200"
2016,20548,"buf",2,"pp","782-902"
2016,20548,"buf",2,"sh","306-424;775-778"
2016,20548,"buf",3,"ev5","0-295;415-554;677-1120;1160-1176"
2016,20548,"buf",3,"pp","295-415"
2016,20548,"buf",3,"sh","557-677"
2016,20563,"njd",1,"ev5","0-525;816-1022;1143-1200"
2016,20563,"njd",1,"pp","525-816"
2016,20563,"njd",1,"sh","1023-1143"
2016,20563,"njd",2,"ev5","0-216;336-1200"
2016,20563,"njd",2,"pp","216-336"
2016,20563,"njd",3,"ev5","0-532;652-754;874-932;1052-1074;1082-1200"
2016,20563,"njd",3,"pp","532-652;754-874"
2016,20563,"njd",3,"sh","932-1052"
2016,20578,"edm",1,"ev5","0-1200"
2016,20578,"edm",2,"ev5","0-387;507-972;1092-1200"
2016,20578,"edm",2,"pp","387-507"
2016,20578,"edm",2,"sh","972-1092"
2016,20578,"edm",3,"ev5","0-905;1084-1120"
2016,20578,"edm",3,"sh","905-1084"
2016,20912,"dal",1,"ev5","0-1200"
2016,20912,"dal",2,"ev5","0-670;709-1200"
2016,20912,"dal",2,"pp","670-709"
2016,20912,"dal",3,"ev5","0-263;383-644;764-790;865-1200"
2016,20912,"dal",3,"pp","644-764"
2016,20912,"dal",3,"sh","263-383;790-865"
2016,20982,"det",1,"ev5","0-479;599-1090"
2016,20982,"det",1,"sh","479-599"
2016,20982,"det",2,"ev5","10-603;723-928;1048-1200"
2016,20982,"det",2,"sh","603-723"
2016,20982,"det",3,"ev5","0-588;708-943;1063-1075;1195-1200"
2016,20982,"det",3,"pp","588-708;943-1063;1075-1195"
2016,20922,"ari",1,"ev5","0-609;729-962;1176-1200"
2016,20922,"ari",1,"pp","1056-1176"
2016,20922,"ari",1,"sh","609-729"
2016,20922,"ari",2,"ev5","0-103;207-229;529-1200"
2016,20922,"ari",2,"pp","103-207;349-529"
2016,20922,"ari",3,"ev5","0-686;806-861;981-1200"
2016,20922,"ari",3,"pp","861-981"
2016,20922,"ari",3,"sh","686-806"
2016,20936,"nyr",1,"ev5","0-531;651-1079"
2016,20936,"nyr",1,"pp","1079-1199"
2016,20936,"nyr",1,"sh","531-651"
2016,20936,"nyr",3,"ev5","65-583;703-1058"
2016,20936,"nyr",3,"pp","583-703;1058-1173"
2016,20936,"nyr",3,"sh","0-65"
2016,20952,"njd",1,"ev5","0-1200"
2016,20952,"njd",2,"ev5","0-145;314-378;426-584;704-787;907-1200"
2016,20952,"njd",2,"pp","787-907"
2016,20952,"njd",2,"sh","194-314;378-426;584-704"
2016,20952,"njd",3,"ev5","0-124;244-845;965-1113"
2016,20952,"njd",3,"sh","124-244;845-965"
2016,20596,"fla",1,"ev5","0-732;1005-1086"
2016,20596,"fla",1,"pp","732-885"
2016,20596,"fla",1,"sh","928-1005;1086-1200"
2016,20596,"fla",2,"ev5","6-561;580-814;934-1200"
2016,20596,"fla",2,"pp","814-934"
2016,20596,"fla",2,"sh","0-6;561-580"
2016,20596,"fla",3,"ev5","0-375;495-781;986-1118"
2016,20596,"fla",3,"sh","375-495;866-986;1118-1200"
2016,20604,"car",1,"ev5","0-67;187-1200"
2016,20604,"car",1,"pp","67-187"
2016,20604,"car",2,"ev5","0-943;1063-1200"
2016,20604,"car",2,"sh","943-1063"
2016,20604,"car",3,"ev5","0-1200"
2016,20615,"stl",1,"ev5","0-373;499-765;885-1200"
2016,20615,"stl",1,"pp","765-885"
2016,20615,"stl",1,"sh","473-499"
2016,20615,"stl",2,"ev5","0-26;91-159;237-362;586-934;1054-1108"
2016,20615,"stl",2,"pp","171-237;934-1054;1108-1200"
2016,20615,"stl",2,"sh","26-91;362-586"
2016,20615,"stl",3,"ev5","28-532;614-1079;1123-1183;1189-1200"
2016,20615,"stl",3,"pp","0-28;532-614"
2016,20627,"nsh",1,"ev5","0-631;751-931"
2016,20627,"nsh",1,"pp","931-1200"
2016,20627,"nsh",1,"sh","631-751"
2016,20627,"nsh",2,"ev5","31-380;488-1200"
2016,20627,"nsh",2,"pp","0-31"
2016,20627,"nsh",2,"sh","380-488"
2016,20627,"nsh",3,"ev5","0-144;264-1104"
2016,20627,"nsh",3,"sh","144-264"
2016,20640,"phi",1,"ev5","0-393;513-789;909-989;1109-1200"
2016,20640,"phi",1,"pp","393-513"
2016,20640,"phi",1,"sh","789-909"
2016,20640,"phi",2,"ev5","0-107;120-491;496-508;808-1105"
2016,20640,"phi",2,"pp","491-496;1105-1200"
2016,20640,"phi",2,"sh","107-120;508-808"
2016,20640,"phi",3,"ev5","96-535;687-1100;1146-1200"
2016,20640,"phi",3,"pp","0-96"
2016,20640,"phi",3,"sh","535-687"
2016,20656,"nyi",1,"ev5","0-1200"
2016,20656,"nyi",2,"ev5","0-234;354-618;738-1142"
2016,20656,"nyi",2,"pp","234-354;618-738"
2016,20656,"nyi",2,"sh","1142-1200"
2016,20656,"nyi",3,"ev5","62-607;727-852;972-1007;1127-1200"
2016,20656,"nyi",3,"pp","852-972;1007-1127"
2016,20656,"nyi",3,"sh","0-62;607-727"
2016,20674,"det",1,"ev5","0-120;240-413;530-1104;1141-1200"
2016,20674,"det",1,"pp","120-240"
2016,20674,"det",1,"sh","433-530;1104-1141"
2016,20674,"det",2,"ev5","0-1200"
2016,20674,"det",3,"ev5","0-488;608-1040;1160-1200"
2016,20674,"det",3,"pp","488-608;1040-1160"
2016,20674,"det",4,"pp","288-300"
2016,20685,"chi",1,"ev5","0-1200"
2016,20685,"chi",2,"ev5","0-285;405-906;1029-1176"
2016,20685,"chi",2,"pp","909-1029;1176-1200"
2016,20685,"chi",2,"sh","285-405"
2016,20685,"chi",3,"ev5","120-434;554-1157"
2016,20685,"chi",3,"pp","434-554"
2016,20685,"chi",3,"sh","96-120"
2016,20702,"pit",1,"ev5","0-1200"
2016,20702,"pit",2,"ev5","0-575;695-1042;1162-1200"
2016,20702,"pit",2,"sh","575-695;1042-1162"
2016,20702,"pit",3,"ev5","0-258;277-290;410-484;604-1200"
2016,20702,"pit",3,"pp","271-277"
2016,20702,"pit",3,"sh","290-410;484-604"
2016,20714,"det",1,"ev5","0-53;173-963;1054-1200"
2016,20714,"det",1,"sh","53-173;963-1054"
2016,20714,"det",2,"ev5","0-75;195-1200"
2016,20714,"det",2,"pp","75-195"
2016,20714,"det",3,"ev5","0-732;852-1200"
2016,20728,"pit",1,"ev5","0-591;686-709;829-1076;1196-1200"
2016,20728,"pit",1,"pp","591-686"
2016,20728,"pit",1,"sh","709-829;1076-1196"
2016,20728,"pit",2,"ev5","0-34;156-506;626-909;1031-1152"
2016,20728,"pit",2,"pp","36-156"
2016,20728,"pit",2,"sh","909-1031;1152-1200"
2016,20728,"pit",3,"ev5","51-98;218-926;1046-1052"
2016,20728,"pit",3,"pp","98-218;926-1046"
2016,20728,"pit",3,"sh","0-51;1052-1124"
2016,20747,"tbl",1,"ev5","0-619;739-1200"
2016,20747,"tbl",1,"pp","619-739"
2016,20747,"tbl",2,"ev5","0-1060;1193-1200"
2016,20747,"tbl",2,"pp","1180-1193"
2016,20747,"tbl",2,"sh","1060-1073"
2016,20747,"tbl",3,"ev5","0-328;468-729;743-803;923-1038;1076-1104"
2016,20747,"tbl",3,"pp","328-348;803-923"
2016,20747,"tbl",3,"sh","448-468;729-743"
2016,20755,"wsh",1,"ev5","0-1079;1126-1200"
2016,20755,"wsh",1,"sh","1079-1126"
2016,20755,"wsh",2,"ev5","0-100;169-478;598-1116;1185-1200"
2016,20755,"wsh",2,"pp","478-598;1116-1185"
2016,20755,"wsh",2,"sh","100-169"
2016,20755,"wsh",3,"ev5","0-82;202-594;714-1118"
2016,20755,"wsh",3,"pp","82-202"
2016,20755,"wsh",3,"sh","594-714"
2016,20774,"tor",1,"ev5","0-205;325-538;660-908;1028-1200"
2016,20774,"tor",1,"pp","908-1028"
2016,20774,"tor",1,"sh","540-660"
2016,20774,"tor",2,"ev5","0-301;421-573;617-860;953-1200"
2016,20774,"tor",2,"pp","573-617"
2016,20774,"tor",2,"sh","301-421;860-953"
2016,20774,"tor",3,"ev5","0-139;259-1001;1026-1143"
2016,20774,"tor",3,"sh","139-259;1001-1026"
2016,20802,"sjs",1,"ev5","0-1023;1051-1200"
2016,20802,"sjs",1,"sh","1023-1051"
2016,20802,"sjs",2,"ev5","0-639;759-1055;1151-1200"
2016,20802,"sjs",2,"sh","639-759;1063-1151"
2016,20802,"sjs",3,"ev5","0-166;286-913;1033-1057;1170-1200"
2016,20802,"sjs",3,"pp","166-286;913-1033"
