"season","game_id","team","period","strength_sit","timeranges"
2016,20737,"wpg",2,"ev5","0-67;182-439;655-814;934-1100"
2016,20737,"wpg",2,"pp","439-535;814-934;1100-1200"
2016,20737,"wpg",2,"sh","67-182;559-655"
2016,20737,"wpg",3,"ev5","120-1046;1077-1099"
2016,20737,"wpg",3,"pp","1109-1200"
2016,20737,"wpg",3,"sh","20-120"
2016,20754,"sjs",1,"ev5","0-320;440-741;861-1029;1149-1200"
2016,20754,"sjs",1,"pp","320-440;1029-1149"
2016,20754,"sjs",1,"sh","741-861"
2016,20754,"sjs",2,"ev5","0-562;682-813;846-1200"
2016,20754,"sjs",2,"pp","813-846"
2016,20754,"sjs",2,"sh","562-682"
2016,20754,"sjs",3,"ev5","0-174;294-1095;1111-1137;1154-1200"
2016,20754,"sjs",3,"sh","174-294"
2016,20764,"ari",1,"ev5","0-509;524-788;855-1200"
2016,20764,"ari",1,"sh","509-524;788-855"
2016,20764,"ari",2,"ev5","0-10;139-169;289-389;509-884;1106-1200"
2016,20764,"ari",2,"pp","10-139;169-289;986-1106"
2016,20764,"ari",2,"sh","389-509"
2016,20764,"ari",3,"ev5","0-12;132-390;510-1115;1135-1157"
2016,20764,"ari",3,"pp","390-510"
2016,20764,"ari",3,"sh","12-132"
2016,20781,"dal",1,"ev5","0-305;425-643;763-1200"
2016,20781,"dal",1,"pp","305-425;643-763"
2016,20781,"dal",2,"ev5","0-1200"
2016,20781,"dal",3,"ev5","0-690;918-1065"
2016,20781,"dal",3,"pp","810-918"
2016,20781,"dal",3,"sh","690-798;1137-1174"
2016,20801,"min",1,"ev5","0-175;295-1104"
2016,20801,"min",1,"sh","1104-1200"
2016,20801,"min",2,"ev5","24-871;991-1200"
2016,20801,"min",2,"pp","871-991"
2016,20801,"min",2,"sh","0-24"
2016,20801,"min",3,"ev5","0-478;598-1200"
2016,20801,"min",3,"pp","478-598"
2016,20801,"min",4,"sh","150-189"
2016,20996,"det",1,"ev5","0-545;669-823;836-1200"
2016,20996,"det",1,"pp","549-669;823-836"
2016,20996,"det",2,"ev5","0-197;317-642;765-1200"
2016,20996,"det",2,"sh","197-317;645-765"
2016,20996,"det",3,"ev5","0-559;679-976;1181-1200"
2016,20996,"det",3,"pp","559-679;994-1107"
