"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160531,30411,"sjs","away",8466138,"c",3,"regular",220,258
20152016,20160531,30411,"sjs","away",8470613,"d",2,"regular",245,283
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",245,283
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",245,283
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",258,296
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",463,501
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",463,501
20152016,20160531,30411,"sjs","away",8468208,"rw",1,"regular",466,504
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",477,515
20152016,20160531,30411,"pit","home",8475832,"rw",2,"regular",477,515
20152016,20160531,30411,"sjs","away",8477922,"c",3,"regular",507,545
20152016,20160531,30411,"sjs","away",8470613,"d",1,"regular",697,735
20152016,20160531,30411,"sjs","away",8470794,"c",1,"regular",697,735
20152016,20160531,30411,"sjs","away",8466138,"c",1,"regular",697,735
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",697,735
20152016,20160531,30411,"sjs","away",8476881,"c",1,"regular",697,735
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",697,735
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",697,735
20152016,20160531,30411,"sjs","away",8466139,"lw",3,"regular",779,817
20152016,20160531,30411,"pit","home",8474013,"d",3,"regular",781,819
20152016,20160531,30411,"pit","home",8474602,"d",3,"regular",781,819
20152016,20160531,30411,"pit","home",8471675,"c",3,"regular",781,819
20152016,20160531,30411,"pit","home",8464989,"c",1,"regular",893,931
20152016,20160531,30411,"sjs","away",8477922,"c",1,"regular",937,975
20152016,20160531,30411,"sjs","away",8476919,"c",3,"regular",954,992
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",104,143
20152016,20160531,30411,"sjs","away",8471392,"d",1,"regular",104,143
20152016,20160531,30411,"pit","home",8473933,"d",1,"regular",133,172
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",159,198
20152016,20160531,30411,"pit","home",8475810,"rw",3,"regular",248,287
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",586,625
20152016,20160531,30411,"sjs","away",8476919,"c",3,"regular",625,664
20152016,20160531,30411,"sjs","away",8468208,"rw",3,"regular",625,664
20152016,20160531,30411,"sjs","away",8477922,"c",3,"regular",625,664
20152016,20160531,30411,"sjs","away",8466138,"c",3,"regular",718,757
20152016,20160531,30411,"pit","home",8470611,"c",3,"regular",823,862
20152016,20160531,30411,"pit","home",8464989,"c",3,"regular",823,862
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",828,867
20152016,20160531,30411,"pit","home",8474013,"d",1,"regular",939,978
20152016,20160531,30411,"pit","home",8474602,"d",1,"regular",1095,1134
20152016,20160531,30411,"pit","home",8471887,"rw",2,"regular",0,40
20152016,20160531,30411,"pit","home",8471675,"c",2,"regular",0,40
20152016,20160531,30411,"sjs","away",8466139,"lw",2,"regular",0,40
20152016,20160531,30411,"sjs","away",8475820,"rw",1,"regular",9,49
20152016,20160531,30411,"sjs","away",8474027,"d",1,"regular",9,49
20152016,20160531,30411,"sjs","away",8474053,"c",1,"regular",9,49
20152016,20160531,30411,"sjs","away",8466139,"lw",1,"regular",9,49
20152016,20160531,30411,"pit","home",8473933,"d",1,"regular",29,69
20152016,20160531,30411,"pit","home",8473548,"rw",1,"regular",29,69
20152016,20160531,30411,"pit","home",8474602,"d",1,"regular",93,133
20152016,20160531,30411,"sjs","away",8468542,"d",3,"regular",119,159
20152016,20160531,30411,"pit","home",8473548,"rw",3,"regular",168,208
20152016,20160531,30411,"pit","home",8475810,"rw",1,"regular",178,218
20152016,20160531,30411,"pit","home",8471887,"rw",3,"regular",208,248
20152016,20160531,30411,"pit","home",8476874,"d",1,"regular",218,258
20152016,20160531,30411,"pit","home",8473548,"rw",1,"regular",218,258
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",247,287
20152016,20160531,30411,"sjs","away",8471392,"d",3,"regular",247,287
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",345,385
20152016,20160531,30411,"pit","home",8471887,"rw",3,"regular",476,516
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",1019,1059
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",1092,1132
20152016,20160531,30411,"pit","home",8475810,"rw",2,"regular",1092,1132
20152016,20160531,30411,"pit","home",8470543,"lw",2,"regular",1092,1132
20152016,20160531,30411,"pit","home",8471215,"c",2,"regular",1092,1132
20152016,20160531,30411,"sjs","away",8470794,"c",2,"regular",1092,1132
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",1092,1132
20152016,20160531,30411,"sjs","away",8476881,"c",2,"regular",1092,1132
20152016,20160531,30411,"sjs","away",8474739,"c",1,"regular",1130,1170
20152016,20160531,30411,"pit","home",8474013,"d",3,"regular",1160,1200
20152016,20160531,30411,"pit","home",8475832,"rw",2,"regular",245,286
20152016,20160531,30411,"sjs","away",8475455,"d",1,"regular",404,445
20152016,20160531,30411,"sjs","away",8477922,"c",1,"regular",472,513
20152016,20160531,30411,"sjs","away",8470794,"c",3,"regular",716,757
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",918,959
20152016,20160531,30411,"pit","home",8471887,"rw",3,"regular",918,959
20152016,20160531,30411,"sjs","away",8466138,"c",2,"regular",974,1015
20152016,20160531,30411,"sjs","away",8470794,"c",1,"regular",999,1040
20152016,20160531,30411,"sjs","away",8466138,"c",1,"regular",999,1040
20152016,20160531,30411,"sjs","away",8476881,"c",1,"regular",999,1040
20152016,20160531,30411,"pit","home",8475208,"d",1,"regular",999,1040
20152016,20160531,30411,"pit","home",8471724,"d",1,"regular",999,1040
20152016,20160531,30411,"pit","home",8470543,"lw",1,"regular",0,42
20152016,20160531,30411,"pit","home",8477839,"lw",2,"regular",182,224
20152016,20160531,30411,"pit","home",8474013,"d",2,"regular",182,224
20152016,20160531,30411,"pit","home",8474602,"d",2,"regular",182,224
20152016,20160531,30411,"pit","home",8471675,"c",2,"regular",182,224
20152016,20160531,30411,"pit","home",8476874,"d",3,"regular",463,505
20152016,20160531,30411,"pit","home",8477839,"lw",1,"regular",471,513
20152016,20160531,30411,"pit","home",8471887,"rw",1,"regular",471,513
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",471,513
20152016,20160531,30411,"sjs","away",8470613,"d",1,"regular",534,576
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",534,576
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",625,667
20152016,20160531,30411,"pit","home",8474013,"d",3,"regular",625,667
20152016,20160531,30411,"pit","home",8471887,"rw",3,"regular",625,667
20152016,20160531,30411,"pit","home",8471675,"c",3,"regular",625,667
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",781,823
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",844,886
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",844,886
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",912,954
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",912,954
20152016,20160531,30411,"sjs","away",8466139,"lw",3,"regular",912,954
20152016,20160531,30411,"pit","home",8474602,"d",3,"regular",950,992
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",25,68
20152016,20160531,30411,"sjs","away",8474053,"c",3,"regular",25,68
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",25,68
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",245,288
20152016,20160531,30411,"pit","home",8471724,"d",2,"regular",245,288
20152016,20160531,30411,"sjs","away",8474096,"c",2,"regular",408,451
20152016,20160531,30411,"sjs","away",8474739,"c",2,"regular",408,451
20152016,20160531,30411,"sjs","away",8476919,"c",1,"regular",470,513
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",502,545
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",502,545
