"h_zone","loc_x","loc_y","type","team","venue","position"
"o",52,-13,"blocked_shot","sjs","away","d"
"d",-36,-19,"shot","dal","away","d"
"o",-64,11,"shot","bos","home","c"
"d",43,-29,"shot","cgy","away","d"
"o",-71,-25,"missed_shot","nsh","home","l"
"o",-71,7,"blocked_shot","nsh","home","l"
"o",-76,21,"missed_shot","chi","away","c"
"o",80,3,"blocked_shot","ana","home","c"
"d",-36,-24,"missed_shot","tor","away","d"
"o",77,6,"shot","chi","home","r"
"d",-65,11,"missed_shot","buf","away","d"
"o",-48,-25,"missed_shot","det","away","c"
"o",41,15,"shot","fla","away","d"
"d",-47,-18,"missed_shot","tor","away","r"
"o",80,35,"missed_shot","ott","home","c"
"o",70,,"shot","tor","home","c"
"d",-78,-2,"shot","sjs","away","l"
"o",37,-25,"missed_shot","wpg","away","d"
"o",-84,20,"missed_shot","min","home","c"
"d",-55,-9,"shot","wpg","away","d"
"o",-53,8,"blocked_shot","nyr","home","d"
"d",47,-20,"missed_shot","njd","away","r"
"o",61,17,"missed_shot","tbl","home","c"
"o",74,-3,"blocked_shot","wsh","home","l"
"o",77,9,"shot","tor","home","d"
"o",76,38,"shot","det","home","l"
"d",77,-9,"missed_shot","mtl","away","c"
"o",31,-34,"shot","min","away","d"
"d",-82,-5,"shot","det","home","l"
"o",84,12,"missed_shot","mtl","away","r"
"d",70,-2,"blocked_shot","det","away","c"
"o",65,-19,"shot","car","home","r"
"d",-66,-19,"shot","ana","away","d"
"n",-20,-2,"shot","ari","home","l"
"o",81,16,"shot","min","home","c"
"o",-57,14,"blocked_shot","cbj","away","c"
"d",81,-17,"blocked_shot","fla","away","d"
"d",-47,-31,"shot","phi","away","d"
"d",-58,20,"shot","dal","away","c"
"d",-74,-7,"blocked_shot","col","away","c"
"o",67,-4,"missed_shot","cgy","home","r"
"o",79,6,"blocked_shot","ott","away","r"
"d",-82,-10,"shot","chi","away","l"
"d",44,10,"blocked_shot","col","away","d"
"o",-78,-27,"shot","nyr","away","d"
"o",75,31,"shot","buf","home","c"
"o",34,-5,"missed_shot","det","home","d"
"o",-79,3,"shot","bos","home","l"
"d",-43,-6,"shot","nyr","away","c"
"o",87,-36,"shot","ari","home","r"
"d",-79,,"shot","edm","away","c"
"d",87,-23,"shot","nyi","away","l"
"d",-64,-6,"missed_shot","buf","away","r"
"d",-52,32,"shot","cgy","away","d"
"o",-53,-8,"missed_shot","stl","home","l"
"o",-32,18,"shot","ari","home","d"
"o",55,-1,"shot","min","home","c"
"d",-75,11,"shot","fla","away","l"
"d",-49,19,"blocked_shot","mtl","home","c"
"o",52,-28,"blocked_shot","wsh","home","l"
"d",-75,6,"blocked_shot","chi","home","r"
"d",34,-27,"missed_shot","stl","away","d"
"d",-46,22,"shot","wpg","home","r"
"o",-74,14,"blocked_shot","ari","home","c"
"d",67,-14,"shot","wsh","away","l"
"d",67,1,"blocked_shot","stl","away","c"
"o",-39,23,"goal","cbj","home","d"
"d",65,-14,"shot","nyr","away","r"
"d",-79,8,"blocked_shot","sjs","away","d"
"d",73,-31,"shot","cgy","away","d"
"o",74,13,"shot","tbl","home","c"
"o",57,4,"blocked_shot","njd","home","l"
"d",64,18,"blocked_shot","min","away","c"
"o",82,-33,"shot","ari","home","r"
"d",72,-13,"shot","dal","home","c"
"d",85,38,"shot","ott","away","d"
"o",77,,"missed_shot","dal","home","r"
"o",73,12,"blocked_shot","nyi","home","r"
"d",-56,21,"shot","phi","home","r"
"o",-86,9,"blocked_shot","chi","home","l"
"d",-33,33,"shot","phi","away","d"
"d",-73,-1,"goal","nsh","away","l"
"d",-85,-7,"missed_shot","ana","away","l"
"d",73,-4,"shot","dal","home","c"
"d",-68,-4,"missed_shot","fla","away","c"
"o",77,-11,"shot","dal","home","r"
"d",-47,10,"blocked_shot","cbj","away","c"
"o",63,-26,"shot","ana","home","d"
"d",-35,21,"blocked_shot","chi","away","d"
"o",-63,-25,"shot","nyi","away","l"
"o",-39,33,"shot","edm","away","d"
"o",64,-4,"blocked_shot","nyi","home","r"
"d",-55,-12,"shot","car","home","c"
"d",-76,-3,"blocked_shot","wsh","away","c"
"o",-83,-29,"shot","ari","home","d"
"o",-39,19,"shot","tbl","home","d"
"o",78,-1,"shot","ana","home","d"
"d",-70,-5,"blocked_shot","car","home","d"
"d",-62,-15,"shot","nyr","home","r"
"o",76,10,"blocked_shot","col","away","r"
"d",-29,-33,"shot","dal","away","d"
"o",81,16,"shot","chi","home","l"
"d",-73,-3,"blocked_shot","tor","home","c"
"o",72,-3,"shot","min","away","d"
"d",-62,,"shot","tor","home","c"
"d",-35,29,"missed_shot","ott","home","c"
"d",79,-2,"blocked_shot","mtl","away","d"
"d",-68,18,"shot","tor","away","r"
"d",37,16,"goal","nyi","home","l"
"d",-80,8,"shot","chi","home","c"
"o",-66,-22,"shot","nyi","home","c"
"d",64,1,"shot","pit","away","d"
"d",88,9,"shot","pit","home","r"
"o",31,27,"missed_shot","cbj","away","d"
"d",-69,-1,"blocked_shot","buf","away","d"
"d",83,14,"blocked_shot","edm","away","l"
"d",32,-3,"missed_shot","tor","away","d"
"o",-80,-16,"shot","bos","home","d"
"d",-36,-20,"shot","nyi","away","d"
"o",61,14,"blocked_shot","chi","home","l"
"o",72,-9,"blocked_shot","ana","home","r"
"o",70,-8,"shot","bos","home","c"
"d",49,2,"shot","wsh","home","l"
"o",82,1,"blocked_shot","cbj","home","c"
"o",-66,,"shot","bos","home","c"
"o",61,-36,"shot","tbl","home","r"
"d",-75,23,"blocked_shot","stl","away","c"
"o",70,8,"blocked_shot","buf","away","c"
"d",81,-29,"shot","nyi","away","c"
"d",-36,-21,"missed_shot","col","away","d"
"o",-67,2,"missed_shot","stl","home","l"
"d",54,9,"shot","njd","away","l"
"o",-40,-26,"shot","sjs","away","d"
"o",-78,12,"goal","edm","home","c"
"o",71,2,"blocked_shot","nyr","home","d"
"n",-9,31,"shot","ana","away","d"
"d",-33,-29,"shot","car","home","d"
"o",84,-26,"shot","det","home","l"
"o",78,3,"shot","mtl","away","l"
"o",42,28,"missed_shot","det","home","l"
"o",79,-9,"shot","nyi","home","l"
"d",68,1,"shot","sjs","away","d"
"o",56,31,"blocked_shot","phi","home","c"
"o",53,-26,"blocked_shot","sjs","home","d"
"d",68,22,"missed_shot","chi","home","l"
"d",-76,5,"shot","det","away","c"
"o",74,18,"blocked_shot","fla","home","c"
"d",53,2,"shot","nyr","away","d"
"o",37,24,"shot","chi","home","d"
"o",30,18,"missed_shot","phi","home","d"
"o",-60,,"shot","ari","home","r"
"o",44,-27,"shot","ari","home","d"
"o",78,-20,"shot","cgy","home","r"
"o",-78,-10,"shot","cbj","home","l"
"d",-41,22,"blocked_shot","ari","away","d"
"d",-61,-6,"blocked_shot","wpg","away","c"
"d",-51,-15,"blocked_shot","col","away","c"
"d",73,3,"shot","fla","away","l"
"o",50,16,"shot","edm","home","l"
"d",-59,-25,"shot","min","away","d"
"d",-52,36,"shot","col","home","d"
"d",84,6,"shot","wpg","home","d"
"d",49,-19,"shot","wpg","away","r"
"n",14,-24,"shot","cbj","away","c"
"o",-84,7,"shot","sjs","home","c"
"o",64,-6,"blocked_shot","nyi","home","d"
"d",-54,-3,"blocked_shot","edm","away","d"
"o",-81,11,"shot","cbj","home","d"
"o",33,-35,"shot","wsh","home","d"
"o",46,21,"shot","pit","home","l"
"n",-23,-24,"shot","det","away","r"
"d",48,-22,"shot","njd","away","d"
"d",-37,-32,"missed_shot","col","home","d"
"d",39,5,"shot","ari","away","r"
"d",-81,-7,"missed_shot","pit","away","c"
"o",76,4,"shot","sjs","home","c"
"d",-47,36,"shot","mtl","home","d"
"d",-35,-36,"shot","nyr","away","d"
"o",60,39,"shot","edm","home","l"
"d",-83,-18,"shot","ott","home","c"
"o",84,-5,"shot","ari","home","l"
"d",68,22,"missed_shot","min","home","c"
"o",84,-6,"shot","cgy","away","c"
"d",-60,15,"shot","wpg","away","c"
"d",74,-35,"shot","buf","away","c"
"o",86,11,"missed_shot","car","home","c"
"o",38,23,"shot","van","home","l"
"o",76,-3,"blocked_shot","dal","away","d"
"d",-76,-18,"missed_shot","chi","home","d"
"d",-61,19,"missed_shot","det","away","l"
"d",48,-20,"shot","nyr","away","d"
"o",-50,36,"shot","van","home","r"
"o",-76,10,"shot","ott","home","l"
"d",74,-26,"shot","car","away","c"
"d",-49,-28,"shot","ana","away","d"
"o",86,-8,"blocked_shot","stl","away","l"
"o",-53,-38,"missed_shot","car","home","c"
"d",-60,-17,"shot","min","home","c"
"d",-59,36,"shot","ott","home","c"
"o",75,35,"missed_shot","sjs","home","c"
"d",77,-3,"goal","dal","home","c"
"o",53,12,"shot","chi","home","d"
"o",71,8,"blocked_shot","ari","home","r"
"d",-61,-25,"missed_shot","tbl","away","l"
"d",69,-23,"goal","nyr","away","d"
"d",-66,7,"blocked_shot","ari","home","c"
"d",-34,-1,"missed_shot","tbl","away","d"
"d",-80,-2,"shot","wsh","home","r"
"o",-60,-22,"blocked_shot","njd","home","r"
"o",-50,-33,"shot","det","home","l"
"d",-73,-2,"shot","car","away","l"
"n",,30,"missed_shot","min","home","d"
"d",-68,-11,"blocked_shot","car","away","l"
"o",-86,15,"shot","van","away","r"
"d",-48,14,"missed_shot","nyr","home","d"
"o",36,-8,"missed_shot","wsh","away","d"
"d",56,-4,"shot","mtl","away","l"
"o",-62,33,"shot","tbl","away","d"
"d",47,-3,"blocked_shot","bos","away","r"
"d",-70,20,"blocked_shot","ana","away","r"
"o",75,-3,"blocked_shot","phi","away","c"
"o",82,6,"blocked_shot","phi","away","c"
"d",-76,-16,"missed_shot","bos","away","c"
"d",-79,18,"shot","wsh","home","r"
"o",52,-32,"shot","nsh","away","r"
"o",40,28,"shot","fla","home","d"
"o",75,6,"blocked_shot","min","away","c"
"d",-46,1,"blocked_shot","chi","away","d"
"o",83,-27,"missed_shot","lak","home","c"
"d",85,18,"missed_shot","stl","away","c"
"o",81,25,"shot","stl","home","c"
"d",-65,-1,"missed_shot","phi","away","c"
"d",46,13,"blocked_shot","chi","away","r"
"d",67,6,"shot","tor","home","c"
"o",61,,"missed_shot","wsh","home","c"
"o",-55,-30,"missed_shot","tbl","away","r"
"o",79,1,"missed_shot","cbj","home","c"
"d",-80,-3,"shot","dal","home","l"
"d",-34,24,"shot","njd","away","d"
"o",64,2,"shot","nsh","home","c"
"o",36,25,"shot","chi","away","d"
"o",76,27,"shot","sjs","home","d"
"d",-35,10,"shot","buf","away","d"
"d",71,-13,"shot","chi","away","r"
"o",42,-8,"goal","van","home","l"
"o",-63,-3,"shot","edm","home","r"
"d",51,-4,"blocked_shot","col","home","l"
"d",-78,-22,"missed_shot","edm","away","c"
"d",77,-1,"missed_shot","nyr","home","r"
"d",-78,-21,"blocked_shot","wsh","home","l"
"d",-66,-7,"shot","nsh","away","c"
"o",-66,5,"missed_shot","nyi","away","l"
"o",75,-34,"shot","njd","away","r"
"o",66,-23,"blocked_shot","tbl","away","l"
"d",-56,,"shot","bos","away","c"
"d",-64,12,"blocked_shot","fla","home","c"
"o",-36,-16,"missed_shot","pit","home","d"
"d",77,-5,"blocked_shot","ari","away","d"
"d",68,5,"shot","tor","home","r"
"n",2,-34,"shot","buf","home","d"
"o",-37,-31,"shot","cgy","home","c"
"o",-31,8,"blocked_shot","col","home","d"
"o",64,-13,"blocked_shot","njd","home","c"
"d",-60,18,"shot","mtl","away","l"
"o",-35,29,"shot","cbj","home","d"
"o",49,34,"shot","buf","home","c"
"o",75,-15,"shot","nsh","home","c"
"o",85,-20,"blocked_shot","dal","home","d"
"o",-82,2,"goal","dal","away","c"
"d",61,36,"shot","car","home","c"
"d",-65,24,"blocked_shot","wsh","away","r"
"d",71,2,"shot","ott","away","c"
"o",36,29,"missed_shot","nyr","away","d"
"d",-63,2,"blocked_shot","phi","away","d"
"d",-70,-3,"shot","fla","away","r"
"d",-67,1,"missed_shot","tbl","away","c"
"o",53,-34,"shot","buf","home","c"
"o",77,,"blocked_shot","fla","home","d"
"d",-31,-2,"missed_shot","sjs","away","d"
"o",-81,-39,"shot","car","home","c"
"o",-68,-2,"blocked_shot","car","home","l"
"d",-79,26,"missed_shot","car","away","d"
"o",64,33,"shot","nyi","away","c"
"o",42,-12,"blocked_shot","bos","home","d"
"d",-60,-4,"shot","pit","away","l"
"d",-64,34,"shot","sjs","home","d"
